index,Final_description
p02685,"there are n blocks arranged in a row. let us paint these blocks. we will consider two ways to paint the blocks different if and only if there is a block painted in different colors in those two ways. find the number of ways to paint the blocks under the following conditions: for each block, use one of the m colors, color 1 through color m, to paint it. it is not mandatory to use all the colors. there may be at most k pairs of adjacent blocks that are painted in the same color. since the count may be enormous, print it modulo 998244353. 
"
p02687,"atcoder inc. holds a contest every saturday. there are two types of contests called abc and arc, and just one of them is held at a time. the company holds these two types of contests alternately: an arc follows an abc and vice versa. given a string s representing the type of the contest held last week, print the string representing the type of the contest held this week. 
"
p02688,"n snukes called snuke 1, snuke 2, ..., snuke n live in a town. there are k kinds of snacks sold in this town, called snack 1, snack 2, ..., snack k. the following d_i snukes have snack i: snuke a_{i, 1}, a_{i, 2}, \cdots, a_{i, {d_i}}. takahashi will walk around this town and make mischief on the snukes who have no snacks. how many snukes will fall victim to takahashi's mischief? 
"
p02689,"there are n observatories in atcoder hill, called obs. 1, obs. 2, ..., obs. n. the elevation of obs. i is h_i.
there are also m roads, each connecting two different observatories. road j connects obs. a_j and obs. b_j. obs. i is said to be good when its elevation is higher than those of all observatories that can be reached from obs. i using just one road.
note that obs. i is also good when no observatory can be reached from obs. i using just one road. how many good observatories are there? 
"
p02690,"give a pair of integers (a, b) such that a^5-b^5 = x.
it is guaranteed that there exists such a pair for the given integer x. 
"
p02691,"you are the top spy of atcoder kingdom. to prevent the stolen secret from being handed to aldebaran kingdom, you have sneaked into the party where the transaction happens. there are n attendees in the party, and they are given attendee numbers from 1 through n. the height of attendee i is a_i. according to an examination beforehand, you know that a pair of attendees satisfying the condition below will make the transaction. the absolute difference of their attendee numbers is equal to the sum of their heights. there are \frac{n(n-1)}{2} ways to choose two from the n attendees and make a pair. among them, how many satisfy the condition above? p.s.: we cannot let you know the secret. 
"
p02692,"there is a game that involves three variables, denoted a, b, and c. as the game progresses, there will be n events where you are asked to make a choice.
each of these choices is represented by a string s_i. if s_i is ab, you must add 1 to a or b then subtract 1 from the other; if s_i is ac, you must add 1 to a or c then subtract 1 from the other; if s_i is bc, you must add 1 to b or c then subtract 1 from the other. after each choice, none of a, b, and c should be negative. determine whether it is possible to make n choices under this condition. if it is possible, also give one such way to make the choices. 
"
p02693,"takahashi the jumbo will practice golf. his objective is to get a carry distance that is a multiple of k, while he can only make a carry distance of between a and b (inclusive). if he can achieve the objective, print ok; if he cannot, print ng. 
"
p02694,"takahashi has a deposit of 100 yen (the currency of japan) in atcoder bank. the bank pays an annual interest rate of 1 % compounded annually. (a fraction of less than one yen is discarded.) assuming that nothing other than the interest affects takahashi's balance, in how many years does the balance reach x yen or above for the first time? 
"
p02695,"given are positive integers n, m, q, and q quadruples of integers ( a_i , b_i , c_i , d_i ). consider a sequence a satisfying the following conditions: a is a sequence of n positive integers. 1 \leq a_1 \leq a_2 \le \cdots \leq a_n \leq m. let us define a score of this sequence as follows: the score is the sum of d_i over all indices i such that a_{b_i} - a_{a_i} = c_i. (if there is no such i, the score is 0.) find the maximum possible score of a. 
"
p02696,"given are integers a, b, and n. find the maximum possible value of floor(ax/b) - a × floor(x/b) for a non-negative integer x not greater than n. here floor(t) denotes the greatest integer not greater than the real number t. 
"
p02699,"there are s sheep and w wolves. if the number of wolves is greater than or equal to that of sheep, the wolves will attack the sheep. if the wolves will attack the sheep, print unsafe; otherwise, print safe. 
"
p02700,"takahashi and aoki will have a battle using their monsters. the health and strength of takahashi's monster are a and b, respectively, and those of aoki's monster are c and d, respectively. the two monsters will take turns attacking, in the order takahashi's, aoki's, takahashi's, aoki's, ...
here, an attack decreases the opponent's health by the value equal to the attacker's strength.
the monsters keep attacking until the health of one monster becomes 0 or below. the person with the monster whose health becomes 0 or below loses, and the other person wins. if takahashi will win, print yes; if he will lose, print no. 
"
p02701,"you drew lottery n times. in the i-th draw, you got an item of the kind represented by a string s_i. how many kinds of items did you get? 
"
p02702,"given is a string s consisting of digits from 1 through 9. find the number of pairs of integers (i,j) (1 ≤ i ≤ j ≤ |s|) that satisfy the following condition: condition: in base ten, the i-th through j-th characters of s form an integer that is a multiple of 2019. 
"
p02705,"print the circumference of a circle of radius r. 
"
p02706,"takahashi has n days of summer vacation. his teacher gave him m summer assignments. it will take a_i days for him to do the i-th assignment. he cannot do multiple assignments on the same day, or hang out on a day he does an assignment. what is the maximum number of days takahashi can hang out during the vacation if he finishes all the assignments during this vacation? if takahashi cannot finish all the assignments during the vacation, print -1 instead. 
"
p02707,"a company has n members, who are assigned id numbers 1, ..., n. every member, except the member numbered 1, has exactly one immediate boss with a smaller id number. when a person x is the immediate boss of a person y, the person y is said to be an immediate subordinate of the person x. you are given the information that the immediate boss of the member numbered i is the member numbered a_i. for each member, find how many immediate subordinates it has. 
"
